step,kid_mean,kid_std,kid_se,kid_x1e3,kid_se_x1e3,fid
20000,0.3947940468788147,0.003763258457183838,0.0003763258457183838,394.7940468788147,0.3763258457183838,338.1537967454457
40000,0.015876540914177895,0.001041886629536748,0.0001041886629536748,15.876540914177895,0.1041886629536748,23.10740352518559
60000,0.006235139444470406,0.0009392478386871517,9.392478386871517e-05,6.235139444470406,0.09392478386871517,11.35273582136631
80000,0.004758472554385662,0.0007385772769339383,7.385772769339383e-05,4.758472554385662,0.07385772769339383,9.240050269937399
100000,0.004486741963773966,0.0007266554166562855,7.266554166562855e-05,4.486741963773966,0.07266554166562855,8.796892321286009
120000,0.004642209969460964,0.0007583677652291954,7.583677652291953e-05,4.642209969460964,0.07583677652291954,8.986769981664224
140000,0.004476139321923256,0.0007444432121701539,7.444432121701538e-05,4.476139321923256,0.07444432121701539,8.530469984731582
160000,0.004397904966026545,0.0007157776271924376,7.157776271924377e-05,4.397904966026545,0.07157776271924376,8.337995721498828
180000,0.004229669459164143,0.0007657233509235084,7.657233509235084e-05,4.229669459164143,0.07657233509235084,8.004202972145094
200000,0.004243044648319483,0.0007763751200400293,7.763751200400293e-05,4.243044648319483,0.07763751200400293,8.034792898824321
220000,0.004104037303477526,0.0008086476009339094,8.086476009339094e-05,4.104037303477526,0.08086476009339094,8.004424202813368
240000,0.00410010339692235,0.0006881041335873306,6.881041335873305e-05,4.10010339692235,0.06881041335873306,7.721055405092073
260000,0.004083197098225355,0.0007629560423083603,7.629560423083603e-05,4.083197098225355,0.07629560423083603,7.697557886516961
280000,0.004107236862182617,0.0007963096140883863,7.963096140883863e-05,4.107236862182617,0.07963096140883863,7.734991032408345
300000,0.004003677051514387,0.000736389949452132,7.36389949452132e-05,4.003677051514387,0.0736389949452132,7.678895652798758
