step,kid_mean,kid_std
20000,0.3462085723876953,0.0036919757258147
40000,0.015638653188943863,0.0008497236995026469
60000,0.006419772747904062,0.0006841291906312108
80000,0.00519174337387085,0.0006541825132444501
100000,0.004713885486125946,0.0006661612424068153
120000,0.004591701086610556,0.0006622701766900718
140000,0.00422323914244771,0.0006270219455473125
160000,0.004694750066846609,0.0006639842758886516
180000,0.004085028078407049,0.0006579835317097604
200000,0.004162382800132036,0.000637360499240458
220000,0.0039651296101510525,0.0006901131710037589
240000,0.003970193676650524,0.0006744693382643163
260000,0.004138660151511431,0.0006978001911193132
280000,0.004425012972205877,0.0006399307167157531
300000,0.004387666936963797,0.0007008624379523098
