step,kid_mean,kid_std,kid_se,kid_x1e3,kid_se_x1e3,fid
20000,0.344074010848999,0.00397421233355999,0.000397421233355999,344.074010848999,0.397421233355999,304.1330691813382
40000,0.01368926465511322,0.000796992564573884,7.96992564573884e-05,13.68926465511322,0.0796992564573884,20.637827880159023
60000,0.005809411872178316,0.0006861271685920656,6.861271685920656e-05,5.809411872178316,0.06861271685920656,10.52899758345447
80000,0.0047760652378201485,0.0006956250872462988,6.956250872462988e-05,4.7760652378201485,0.06956250872462988,8.658883405124584
100000,0.0044847819954156876,0.0006985515356063843,6.985515356063842e-05,4.484781995415688,0.06985515356063843,8.105049465124381
120000,0.004182970616966486,0.0006844379822723567,6.844379822723567e-05,4.182970616966486,0.06844379822723567,7.687254182205976
140000,0.0040123844519257545,0.0007043387740850449,7.043387740850449e-05,4.0123844519257545,0.07043387740850449,7.3343093975123
160000,0.0040714312344789505,0.0006740259123034775,6.740259123034775e-05,4.0714312344789505,0.06740259123034775,7.336728123587562
180000,0.003977386746555567,0.0006525293574668467,6.525293574668467e-05,3.977386746555567,0.06525293574668467,6.956694296664011
200000,0.004020087420940399,0.0007047012913972139,7.04701291397214e-05,4.020087420940399,0.0704701291397214,7.089621747010426
220000,0.0037978719919919968,0.0006258083740249276,6.258083740249277e-05,3.7978719919919968,0.06258083740249276,6.9222453537739455
240000,0.0038585232105106115,0.0007379484013654292,7.379484013654291e-05,3.8585232105106115,0.07379484013654292,6.696521139315365
260000,0.003879170399159193,0.0006572825950570405,6.572825950570404e-05,3.879170399159193,0.06572825950570405,6.7791668577710595
280000,0.003897671587765217,0.0007181082619354129,7.18108261935413e-05,3.897671587765217,0.07181082619354129,6.773911859074474
300000,0.003919169772416353,0.0006744476850144565,6.744476850144565e-05,3.9191697724163532,0.06744476850144565,6.762562433407027
