step,kid_mean,kid_std
20000,0.3946368992328644,0.003696914529427886
40000,0.015425844117999077,0.000945577397942543
60000,0.005804142914712429,0.000715802249033004
80000,0.0044839046895504,0.0007047569961287081
100000,0.004320304375141859,0.0006672941381111741
120000,0.004248676355928183,0.0007069390849210322
140000,0.004072809126228094,0.0007063875673338771
160000,0.004021942615509033,0.0006852996302768588
180000,0.0038749766536056995,0.000623299099970609
200000,0.003929836675524712,0.0007370216189883649
220000,0.003715226659551263,0.0006388180190697312
240000,0.003841912606731057,0.0007193344063125551
260000,0.0037293648347258568,0.0006432362133637071
280000,0.003768427297472954,0.0007340547745116055
300000,0.0037176895420998335,0.0006721142563037574
