step,kid_mean,kid_std,kid_se,kid_x1e3,kid_se_x1e3,fid
20000,0.34361445903778076,0.004130664747208357,0.0004130664747208357,343.61445903778076,0.4130664747208357,305.9675012488547
40000,0.014859072864055634,0.0008908701711334288,8.908701711334288e-05,14.859072864055634,0.08908701711334288,22.545934004634432
60000,0.006107256282120943,0.000798896886408329,7.98896886408329e-05,6.107256282120943,0.0798896886408329,11.506400507655513
80000,0.005092675797641277,0.0007110420847311616,7.110420847311616e-05,5.092675797641277,0.07110420847311616,9.805991190995286
100000,0.004726440645754337,0.0007220580009743571,7.220580009743571e-05,4.726440645754337,0.07220580009743571,9.214806859203236
120000,0.004734902177006006,0.0007520538056269288,7.520538056269289e-05,4.734902177006006,0.07520538056269288,9.094067178031139
140000,0.00460551492869854,0.0007531195296905935,7.531195296905935e-05,4.60551492869854,0.07531195296905935,8.737849116356784
160000,0.004542998969554901,0.000745548983104527,7.45548983104527e-05,4.542998969554901,0.0745548983104527,8.508530513641233
180000,0.004344542045146227,0.0007732341182418168,7.732341182418168e-05,4.344542045146227,0.07732341182418168,8.11816965132897
200000,0.0044099329970777035,0.0007763811736367643,7.763811736367643e-05,4.4099329970777035,0.07763811736367643,8.213209817911775
220000,0.00420550350099802,0.0007859221077524126,7.859221077524125e-05,4.20550350099802,0.07859221077524126,8.093261994162361
240000,0.004092683549970388,0.0006792528438381851,6.792528438381851e-05,4.092683549970388,0.06792528438381851,7.822734641265413
260000,0.0040982007049024105,0.0007226307643577456,7.226307643577456e-05,4.0982007049024105,0.07226307643577456,7.743192161776477
280000,0.004171767272055149,0.0007551039452664554,7.551039452664554e-05,4.171767272055149,0.07551039452664554,7.890168137469175
300000,0.00417312141507864,0.0007584102568216622,7.584102568216621e-05,4.17312141507864,0.07584102568216622,7.8284909513606635
